CVE,both,only_before,only_after,bugs_changed
cejs_2.0.20170212,50,1,0,0
codemirror_5.58.0,43,1,0,0
locutus_2.0.10,17,0,0,0
lodash_4.17.4,10,0,0,0
conventional-commits-parser_3.2.0,9,0,0,6
marked_0.3.6,7,0,0,8
highlight.js_10.4.0,6,1,0,1
ethers_5.2.0,6,0,0,0
jspdf_2.1.1,3,1,0,0
clean-css_4.1.10,3,0,0,0
html-parse-stringify2_2.0.1,2,2,0,0
html-parse-stringify_2.0.0,2,2,0,0
colors-cli_1.0.25,2,0,0,0
terminal-kit_2.1.0,2,0,0,0
react-native_0.63.0-rc.0,1,1,0,0
markdown-it_9.1.0,1,0,0,0
mobile-detect_1.3.6,1,0,0,0
natural_5.1.0,1,0,0,0
simple-markdown_0.7.2,1,0,0,0
ua-parser-js_0.7.22,1,0,0,0
dirty-json_0.4.0,0,2,0,0
semver-regex_3.1.1,0,1,1,0
content_3.0.5,0,1,0,0
date-and-time_0.14.1,0,1,0,0
ducktype_1.2.0,0,1,0,0
ssri_8.0.0,0,1,0,0
valid-email_0.0.1,0,1,0,0
serialize-to-js_0.5.0,3,0,0,0
serialize-javascript_2.0.0,0,1,0,0
total.js_3.4.6,16,0,0,0
clamscan_1.2.0,5,0,0,0
codecov_3.6.4,1,2,0,0
macaddress_0.2.8,0,1,1,0
samsung-remote_1.2.5,0,1,0,0
dns-sync_0.1.0,0,0,5,1
@vivaxy-here_3.1.0,2,0,0,0
angular-http-server_1.0.0,1,2,0,0
hangersteak_0.2.2,1,1,0,0
glance_3.0.0,0,1,0,0
hostr_2.0.0,0,0,4,0
m-server_1.4.0,0,0,0,1
serve-here.js_1.1.0,0,0,0,1
firebase-util_0.3.3-canary.c47ba31d0,12,0,0,0
lodash_4.17.15,10,0,0,0
lodash_4.17.9,10,0,0,0
mithril_1.0.0,10,0,0,0
set-object-value_0.0.5,8,0,0,0
swiper_6.5.0,6,0,0,0
nodee-utils_1.2.2,5,0,0,0
jquery_1.11.0,4,0,0,0
putil-merge_3.0.0,3,0,0,0
mathjs_7.4.0,2,0,0,0
prototyped.js_2.0.0,2,0,0,0
sds_3.2.0,2,0,0,0
hoek_5.0.0,1,1,0,0
algoliasearch-helper_3.6.0,1,0,0,0
fabiocaccamo-utils.js_0.17.0,1,0,0,0
patchmerge_1.0.0,1,0,0,0
patchmerge_1.0.1,1,0,0,0
assign-deep_1.0.0,0,1,0,0
deep-override_1.0.0,0,1,0,0
defaults-deep_0.2.0,0,1,0,0
extend_3.0.1,0,1,0,0
mixin-deep_1.3.0,0,1,0,0
mixin-deep_2.0.0,0,1,0,0
connie_0.1.0,0,0,0,1
dot-prop_2.0.0,0,0,0,1
